"pid","description","tid"
"6505","Mental lethargy","57"
"6506","Tremors","57"
"6507","Irritibility","59"
"6508","Decreased testosterone in males","62"
"6509","Delayed secondary sexual characteristics in males","62"
"6510","Impaired T cell function","64"
"6511","Frequent Candida infections","64"
"6512","Decreased plasma zinc levels","72"
"6513","Decreased serum alkaline phosphatase","72"
"6514","Decreased mucosal alkaline phosphatase","72"
"6515","Response to zinc supplementation","73"
"6516","Maternal breast milk is protective","73"
"6517","Distinct disorder from reduced zinc in breast milk ","73"
"6518","Severe short-limb dwarfism","2"
"6519","Acromesomelia","46"
"6520","Joint dislocations (elbow, knee, ankle)","46"
"6521","Distal femoral bowing","46"
"6522","Very short fibulae","46"
"6523","Short thumbs and fingers","47"
"6524","Abnormally shaped carpal bones","47"
"6525","Nine carpal bones","47"
"6526","Short, cuboidal metacarpals","47"
"6527","Short proximal and medial phalanges","47"
"6528","Ball-shaped toes","48"
"6529","Allelic to Grebe syndrome ","73"
"6530","Impaired corneal reflex","9"
"6531","Decreased taste sensation","11"
"6532","Neurogenic joint degeneration","42"
"6533","Acral ulceration leading to autoamputation of digits","47"
"6534","Acroosteolysis","48"
"6535","Acral ulceration leading to autoamputation of digits","48"
"6536","Hyperhidrosis, episodic","50"
"6537","Anhidrosis, patchy","50"
"6538","Ulcerations of distal extremities","50"
"6539","Muscle strength and bulk is preserved","55"
"6540","Impaired sensation in distal extremities (pain, temperature, position, touch)","58"
"6541","Lower limbs more affected than upper limbs","58"
"6542","Trunk may be involved later","58"
"6543","Decreased taste sensation","58"
"6544","Impaired corneal reflex","58"
"6545","Impaired gag reflex","58"
"6546","Hypotonia","58"
"6547","Sural nerve biopsy shows severe loss of myelinated fibers","58"
"6548","Some loss of unmyelinated fibers","58"
"6549","Absence of cutaneous sensory receptors and fibers","58"
"6550","Autonomic involvement does not always occur","58"
"6551","Decreased axonal flare response after intradermal histamine injection","72"
"6552","High disease prevalence among French-Canadians","73"
"6553","Fatty infiltration of liver","29"
"6554","Developmental delay if undiagnosed or untreated","57"
"6555","Absent to trace urine and plasma ketones","61"
"6556","Mild metabolic acidosis","61"
"6557","Mildly elevated blood ammonia","72"
"6558","Increased liver enzymes","72"
"6559","Medium chain dicarboxylic aciduria","72"
"6560","Decreased plasma carnitine","72"
"6561","Acylglycinuria","72"
"6562","Deficiency of medium-chain acyl-CoA dehydrogenase","72"
"6563","Most common disorder of fatty acid oxidation (1/13,000 births)","73"
"6564","Clinical presentation varies from asymptomatic to fulminant course","73"
"6565","Onset precipitated by fasting or illness","73"
"6566","Chronic failure to thrive","4"
"6567","External ophthalmoplegia, progressive (rare)","9"
"6568","Cardiomyopathy (rare)","15"
"6569","Multiminicore myopathy","55"
"6570","White matter abnormalities (uncommon)","57"
"6571","Psychosis (rare)","59"
"6572","Acute metabolic decompensation","61"
"6573","Metabolic acidosis, episodic","61"
"6574","Ethylmalonic aciduria","72"
"6575","Methylsuccinic aciduria","72"
"6576","Decreased SCAD activity","72"
"6577","Increased serum acyl carnitines","72"
"6578","Increased serum butyryl carnitine","72"
"6579","Onset birth to early childhood","73"
"6580","Highly variable phenotype, ranging from asymptomatic to severe","73"
"6581","Cardiac arrest","15"
"6582","Sudden cardiac death","15"
"6583","Muscle weakness associated with fasting or infection","55"
"6584","Muscle pain with exercise (in older patients)","55"
"6585","Muscle stiffness (in older patients)","55"
"6586","Rhabdomyolysis with exercise (in older patients)","55"
"6587","Myopathic episodes triggered by exercise, fasting, infection, cold temperatures","55"
"6588","Nonketotic hypoglycemia","61"
"6589","Dicarboxylic aciduria","72"
"6590","Decreased very long-chain acyl-CoA dehydrogenase protein and activity","72"
"6591","Exercise-induced myoglobinuria in adults","72"
"6592","Increased serum creatine kinase in patients with muscle involvement","72"
"6593","Three main clinical forms","73"
"6594","Severe, early-onset, usually within the first days of life, with cardiomyopathy and early death","73"
"6595","Milder, childhood form, with onset by age 4 years, lesser cardiac involvement, and hypoketotic hypoglycemia","73"
"6596","Mild adult form, with onset after age 13 years, no cardiac involvement, and restricted to muscle involvement with rhabdomyolysis","73"
"6597","Temporal bossing","7"
"6598","Choanal stenosis","10"
"6599","Laryngomalacia","19"
"6600","Bronchomalacia","20"
"6601","Anteriorly places anus","33"
"6602","Chordee","35"
"6603","Hypoplastic labia","36"
"6604","Fused labia","36"
"6605","Single urogenital orifice","36"
"6606","Vesicovaginal fistula","38"
"6607","Polycystic ovary","38"
"6608","Cloverleaf skull","43"
"6609","Elbow synostosis","46"
"6610","Ulnar bowing","46"
"6611","Radiohumeral synostosis","46"
"6612","Femoral bowing","46"
"6613","Femoral fractures","46"
"6614","Carpal synostosis","47"
"6615","Adrenal crisis","62"
"6616","Two vessel cord","69"
"6617","Maternal virilization (midpregnancy)","70"
"6618","Low maternal serum estriol (E(3))","70"
"6619","Normal baseline cortisol","72"
"6620","Blunted cortisol response to adrenocorticotropic hormone (ACTH)","72"
"6621","Elevated 17-hydroxyprogesterone","72"
"6622","Mildly elevated ACTH","72"
"6623","Elevated progesterone","72"
"6624","Elevated pregnenolone","72"
"6625","See also Antley-Bixler syndrome (ABS) with normal steroidogenesis ","73"
"6626","Majority of POR deficiency patients have an ABS-like phenotype","73"
"6627","Some patients have only ambiguous genitalia or other evidence of disordered steroidogenesis","73"
"6628","Absent scrotum","35"
"6629","Clitoris-like phallus","35"
"6630","Salt-wasting disorder (in some patients)","39"
"6631","Elevated baseline 17-hydroxypregnenolone levels","62"
"6632","Elevated ACTH-stimulated 17-hydroxypregnenolone levels","62"
"6633","Elevated ACTH-stimulated 17-hydroxypregnenolone to cortisol ratios","62"
"6634","Elevated dihydroepiandrosterone (DHEA","62"
"6635","in some patients)","62"
"6636","Premature pubarche","62"
"6637","Virilization","35"
"6638","Ambiguous genitalia due to virilization","36"
"6639","Penile urethra","36"
"6640","Fused labial-scrotal folds","36"
"6641","Rudimentary uterus and vagina","38"
"6642","Adrenal hyperplasia","39"
"6643","Premature epiphyseal closure","46"
"6644","Hyperpigmentation associated with increased adrenocorticotropic hormone (ACTH)","50"
"6645","Congenital adrenal hyperplasia","62"
"6646","Precocious puberty in males","62"
"6647","Increased 11-deoxycorticosterone","72"
"6648","Increased 11-deoxycortisol","72"
"6649","Decreased aldosterone","72"
"6650","Decreased renin","72"
"6651","Decreased cortisol","72"
"6652","Increased ACTH","72"
"6653","Increased androgens","72"
"6654","Onset in neonatal period","73"
"6655","Incidence of 1 in 100,000 births in Caucasians","73"
"6656","Incidence of 1 in 5,000 to 1 in 7,000 in Moroccan Jewish individuals","73"
"6657","Accounts for 5 to 7% of all cases of congenital adrenal hyperplasia","73"
"6658","Tall stature","2"
"6659","Recurrent hypoglycemic episodes","61"
"6660","Frequent, severe infections","64"
"6661","Low to undetectable plasma cortisol","72"
"6662","Elevated plasma ACTH","72"
"6663","Normal plasma renin","72"
"6664","Normal plasma aldosterone","72"
"6665","Otocephaly","6"
"6666","Mandibular agenesis","7"
"6667","Agnathia","7"
"6668","Synotia","8"
"6669","Ear anomalies","8"
"6670","Synophthalmia","9"
"6671","Downslanted palpebral fissures","9"
"6672","Frontal proboscis","10"
"6673","Microglossia","11"
"6674","Aglossia","11"
"6675","Hypoplastic oropharynx","11"
"6676","Hypoplastic epiglottis","19"
"6677","Hypoplastic larynx","19"
"6678","Trachea-oropharynx connection agenesis","19"
"6679","Blind-ended trachea","20"
"6680","Tracheomalacia","20"
"6681","Situs inversus (variable)","27"
"6682","Holoprosencephaly (variable)","57"
"6683","Agenesis of the corpus callosum (variable)","57"
"6684","Most cases occur de novo","73"
"6685","Autosomal recessive inheritance has been reported in 1 case","73"
"6686","Usually lethal in the neonatal period","73"
"6687","Incidence is less than 1 in 70,000 births","73"
"6688","Increased absolute neutrophil count (ANC) within 0.0-0.2 x 10(9)/l","63"
"6689","Anemia, mild","63"
"6690","Increase in blood monocytes (2-3 times normal)","63"
"6691","Increased promyelocytes","63"
"6692","Maturation arrest of neutrophil precursors seen on bone marrow biopsy","63"
"6693","Promyelocytes have atypical nuclei and vacuolization of the cytoplasm","63"
"6694","Recurrent severe infections","64"
"6695","Absent iris pigment","9"
"6696","Translucent iris","9"
"6697","Pink irides (childhood)","9"
"6698","Blue-gray irides (adult)","9"
"6699","Absent retinal pigment","9"
"6700","Choroidal vessels visible","9"
"6701","Foveal hypoplasia","9"
"6702","High refractive errors (hyperopia, myopia, with-the-rule astigmatism)","9"
"6703","Albinotic optic disc","9"
"6704","Misrouting of the optic nerves at the chiasm","9"
"6705","Absent stereopsis due to anomalous decussation at the optic chiasm","9"
"6706","Positive angle kappa (appearance of exotropia but no shift on cover test)","9"
"6707","Asymmetric visual evoked potentials","9"
"6708","Milky white skin","50"
"6709","Absent skin pigmentation","50"
"6710","No ability to tan","50"
"6711","White hair","54"
"6712","Absent tyrosinase activity","72"
"6713","Congenital onset","73"
"6714","Complete absence of melanin synthesis","73"
"6715","Pigment does not develop with age","73"
"6716","Prevalence of 1 in 28,000 Caucasians","73"
"6717","Prevalence of 1 in 28,000 African-Americans","73"
"6718","One of the 2 most common forms of albinism in the world, along with OCA2","73"
"6719","See also OCA1B, or ''yellow albinism,'' an allelic disorder with residual tyrosinase activity and some pigmentation","73"
"6720","Decreased iris pigment","9"
"6721","Translucent irides","9"
"6722","Irides blue-gray to light brown","9"
"6723","White at birth","50"
"6724","Tone does not appreciably change with age","50"
"6725","Freckles in sun-exposed areas","50"
"6726","No tanning","50"
"6727","White to golden blonde or red hair","54"
"6728","Hair darkens with age","54"
"6729","'Yellow' hair occurs in individuals of African descent","54"
"6730","Hair bulbs will pigment when incubated with tyrosine","72"
"6731","Highly variable phenotype with regard to pigmentation","73"
"6732","One of the 2 most common forms of OCA in the world along with OCA1","73"
"6733","High frequency in equatorial Africa","73"
"6734","Individuals may accumulate more pigment in hair and eyes with age","73"
"6735","Prevalence of 1 in 10,000 Caucasians","73"
"6736","Prevalence of 1 in 10,000 African-Americans","73"
"6737","Prevalence of 1 in 227 Hopi Indians","73"
"6738","Prevalence of 1 in 240 Zuni Indians","73"
"6739","Prevalence of 1 in 7,900 in Cameroon","73"
"6740","Prevalence of 1 in 3,900 in South Africa","73"
"6741","Prevalence of 1 in 1,429 in Tanzania","73"
"6742","Prevalence of 1 in 2,833 in Zimbabwe","73"
"6743","See also OCA1A ","73"
"6744","Red reflex on transillumination of the iris","9"
"6745","Retinal pigment present","9"
"6746","Dilution of color of iris","9"
"6747","Bright copper-red coloration of skin (in darker-skinned individuals)","50"
"6748","Freckled skin (in some less dark-skinned individuals)","50"
"6749","Mild hypopigmentation (in light-skinned individuals)","50"
"6750","Bright copper-red hair (in darker-skinned individuals)","54"
"6751","Reddish hair (in some less dark-skinned individuals)","54"
"6752","Normal tyrosinase","72"
"6753","Lifelong reduced visual acuity, legal blindness to low vision","9"
"6754","Iris transillumination (variable)","9"
"6755","Macular translucency (variable)","9"
"6756","Iris color blue to brown","9"
"6757","Ocular albinism","9"
"6758","Interstitial pulmonary fibrosis","21"
"6759","Granulomatous colitis","33"
"6760","Inflammatory bowel disease","33"
"6761","Albinism","50"
"6762","Creamy white skin","50"
"6763","Tanning possible","50"
"6764","Pigmented nevi","50"
"6765","Hair color white to brown","54"
"6766","Bleeding diathesis","63"
"6767","Absent dense bodies in platelets","63"
"6768","Easy bruisability","63"
"6769","Normal platelet counts","63"
"6770","Normal prothrombin and partial chromoplastin times","63"
"6771","Pigmented reticuloendothelial cells","63"
"6772","Hair bulb tyrosinase present","72"
"6773","Gene frequency in Northwest Puerto Rico 1 in 18","73"
"6774","Salt-wasting","39"
"6775","Intermittent fever","61"
"6776","Hypoaldosteronism","62"
"6777","Decreased serum aldosterone","72"
"6778","Increased serum corticosterone","72"
"6779","Increased serum ratio of corticosterone to 18-hydroxycorticosterone (18-OHB)","72"
"6780","Decreased serum 18-OHB","72"
"6781","Increased serum renin","72"
"6782","Normal urinary 17-ketosteroids","72"
"6783","Infants may have acute life-threatening crises","73"
"6784","Symptoms ameliorate with age","73"
"6785","Adults may be asymptomatic","73"
"6786","Allelic disorder to corticosterone methyloxidase type II deficiency ","73"
"6787","Progressive macrocephaly","6"
"6788","Diffuse demyelination (increased signal intensity in T2-weighted images, especially frontal lobes)","57"
"6789","Coarsened pattern of sulci and gyri","57"
"6790","Presence of Rosenthal fibers (eosinophilic bodies near astrocyte filaments)","57"
"6791","Presence of Rosenthal fibers (cytoplasmic inclusions) in astrocytes","72"
"6792","Presence of glial fibrillary acidic proteins (GFAP) in astrocytes","72"
"6793","Elevated CSF protein","72"
"6794","Average age of onset 6 months (range birth - 2 years)","73"
"6795","Death by age 5 (infantile form)","73"
"6796","Three variants distinguished by age of onset - infantile ( onset before age 2), juvenile (onset in childhood), and adult","73"
"6797","Juvenile patients have slower clinical course with preserved intellect, bulbar signs, ataxia, and spasticity","73"
"6798","Adult patients have heterogeneous symptoms including some with relapsing-remitting symptoms similar to multiple sclerosis","73"
"6799","Height loss secondary to spinal changes","2"
"6800","Pigmentation of the ear cartilage","8"
"6801","Pigmentation of the sclera","9"
"6802","Aortic valve calcification","15"
"6803","Mitral valve calcification","15"
"6804","Coronary artery calcification","15"
"6805","Aortic dilatation","15"
"6806","Ochronotic prostate stones","37"
"6807","Urolithiasis","39"
"6808","Ochronotic pigmentation of fibrous tissues including cartilage, tendons, ligaments","42"
"6809","Ochronotic arthritis","42"
"6810","Ochronotic arthropathy","42"
"6811","Chronic joint pain","42"
"6812","Back pain","44"
"6813","Degeneration of intervertebral disks","44"
"6814","Decreased lumbar flexion","44"
"6815","Thickened Achilles tendon","48"
"6816","Increased plasma homogentisic acid (HGA)","72"
"6817","Increased urinary HGA","72"
"6818","Decreased liver homogentisate 1,2-dioxygenase activity","72"
"6819","Urine turns dark on standing and alkalinization","73"
"6820","Joint symptoms begin in third or fourth decade","73"
"6821","Affects 1 in 250,000 to 1 million people worldwide","73"
"6822","Visual disturbances","9"
"6823","Cortical blindness","9"
"6824","Abnormal visual evoked potential (VEP)","9"
"6825","Biopsy shows microvesicular steatosis","29"
"6826","Hepatocyte dropout","29"
"6827","Micronodular cirrhosis","29"
"6828","Abnormal bile duct architecture","29"
"6829","Decreased mitochondrial respiratory chain complex activity","55"
"6830","Psychomotor regression, episodic, often associated with common childhood infections","57"
"6831","Seizures, sudden-onset, drug-resistant","57"
"6832","Paralysis","57"
"6833","Cerebral cortical neurodegeneration","57"
"6834","Astrocytosis","57"
"6835","Pseudolaminar spongiform changes","57"
"6836","EEG shows slow frequency high amplitude waves with high frequency polyspikes","57"
"6837","Elevated liver function tests","72"
"6838","Decreased DNA polymerase-gamma (POLG,","72"
"6839","Intermittent 3-methylglutaconic aciduria","72"
"6840","Intermittent ethylmalonic aciduria","72"
"6841","Intermittent dicarbonic aciduria","72"
"6842","Onset in infancy after normal birth and neonatal period","73"
"6843","Death usually by age 3 years","73"
"6844","Later onset (late childhood to young adult) has been reported","73"
"6845","Increased sensitivity to valproic acid toxicity","73"
"6846","Mental retardation (in some cases)","57"
"6847","Ketoacidosis, episodic","61"
"6848","Increased urinary 2-methyl-3-hydroxybutyric acid","72"
"6849","Increased urinary 2-methylacetoacetic acid","72"
"6850","Increased urinary tiglylglycine","72"
"6851","Increased urinary 2-butanone","72"
"6852","Onset at 5-24 months","73"
"6853","Infections may precipitate ketotic episodes","73"
"6854","Patients with T2 deficiency and urinary abnormalities may be asymptomatic","73"
"6855","Deafness, sensorineural, especially affecting high frequencies","8"
"6856","Anterior lenticonus","9"
"6857","Lens opacities","9"
"6858","Pigmentary changes ('flecks') in the perimacular region","9"
"6859","Corneal endothelial vesicles","9"
"6860","Glomerulonephropathy","39"
"6861","End-stage renal failure","39"
"6862","Thinning of the glomerular basement membrane (early in the disease)","39"
"6863","Thickening of the glomerular basement membrane (later in the disease)","39"
"6864","Splitting of the glomerular basement membrane","39"
"6865","Diffuse lamellation of the glomerular basement membrane","39"
"6866","Hematuria, gross and microscopic","72"
"6867","Nephrotic syndrome","72"
"6868","Hearing loss occurs in late childhood","73"
"6869","Hearing loss and ocular findings are variable","73"
"6870","About 1 to 5% of patients who undergo renal transplantation develop anti-glomerular basement membrane nephritis","73"
"6871","Truncal obesity (onset in childhood)","3"
"6872","Hearing loss, progressive sensorineural","8"
"6873","Cone-rod dystrophy","9"
"6874","Photophobia (infancy)","9"
"6875","Nystagmus (infancy)","9"
"6876","Bull's-eye maculopathy","9"
"6877","Waxy optic disc palor","9"
"6878","Hyperopia, moderately high","9"
"6879","Central vision loss precedes peripheral visual loss","9"
"6880","Visual field constriction","9"
"6881","Abnormal cone and rod functions at birth seen on ERG","9"
"6882","Nonrecordable ERG after 7 years of age","9"
"6883","Gingivitis","12"
"6884","Discolored enamel","12"
"6885","Dilated cardiomyopathy (infancy)","15"
"6886","Atherosclerosis","16"
"6887","Recurrent pulmonary infections","20"
"6888","Hepatitis, chronic active","29"
"6889","Nephritis, chronic","39"
"6890","Renal structural anomalies (reported in 1 family)","39"
"6891","Narrowing of the ureteropelvic junctions","39"
"6892","Deformities of the calyceal system","39"
"6893","Hyperostosis frontalis interna","43"
"6894","Developmental delay","56"
"6895","Menstrual irregularities","62"
"6896","Hypergonadotropic hypogonadism (males)","62"
"6897","Diabetes insipidus","62"
"6898","Multinodular goiter","62"
"6899","Growth hormone deficiency","62"
"6900","Low HDL-cholesterol","72"
"6901","Normal total cholesterol","72"
"6902","Elevated serum transaminases","72"
"6903","Retarded growth","4"
"6904","Sensory hearing loss","8"
"6905","Fundus atrophy","9"
"6906","Keratoconus","9"
"6907","Eye poking","9"
"6908","Reduced electroretinogram (ERG)","9"
"6909","Hyperthreoninemia","72"
"6910","Hyperthreoninuria","72"
"6911","Vision loss, progressive (4 to 10 years)","9"
"6912","Blindness (6 to 14 years)","9"
"6913","Abolished electroretinogram (ERG)","9"
"6914","Glaucoma, lens-induced","9"
"6915","Cataract, juvenile-onset mature","9"
"6916","Concentric hypertrophic cardiomyopathy, severe (later onset in protracted cases)","15"
"6917","Autophagic vacuoles seen on biopsy (in some patients)","55"
"6918","Intermyofibrillar and subsarcolemmal accumulation of electron-dense material (in some patients)","55"
"6919","Progressive inability to walk","57"
"6920","Difficulty in school","59"
"6921","Behavioral changes","59"
"6922","Mood disturbances","59"
"6923","Lipopigment in extraneuronal cells","72"
"6924","'Fingerprint profiles' ultrastructurally in cells","72"
"6925","'Curvilinear profiles' ultrastructurally in cells","72"
"6926","Onset at 4 to 10 years","73"
"6927","Death at 20 to 40 years","73"
"6928","Variable severity, some patients have a protracted course with little neurologic involvement","73"
"6929","1.02 kb genomic deletion in 85% of Batten disease alleles worldwide","73"
"6930","Leukoencephalopathy on CT and MRI","57"
"6931","Auditory and visual hallucinations","59"
"6932","Granular osmiophilic deposits (GROD) in cells resulting in 'fingerprint' profiles ultrastructurally","72"
"6933","Granular osmiophilic deposits (GROD) in cells resulting in 'curvilinear' profiles ultrastructurally","72"
"6934","Granular osmiophilic deposits (GROD) in cells resulting in 'Rectilinear' profiles ultrastructurally","72"
"6935","Onset in adulthood (third to fourth decade)","73"
"6936","Type A characterized by progressive myoclonic epilepsy","73"
"6937","Type B characterized by dementia, motor disturbances, and facial dyskinesia","73"
"6938","For similar autosomal dominant form, see","73"
"6939","Developmental regression after age 2 years","57"
"6940","'Curvilinear profiles' ultrastructurally","72"
"6941","Onset at 2 to 4 years","73"
"6942","Death at 10 to 15 years","73"
"6943","Retrognathic mandibular position (some)","7"
"6944","Vertical dysgnathia (some)","7"
"6945","Anterior openbite malocclusion (some)","11"
"6946","Decreased enamel mineralisation","12"
"6947","Yellow-brown discoloration of the teeth","12"
"6948","Amelogenesis imperfecta, hypoplastic","12"
"6949","Yellow-brown teeth","12"
"6950","Delayed permanent dentition","12"
"6951","Coronal and radicular dagger-shaped pulpal calcifications","12"
"6952","Large follicles around developing teeth crowns","12"
"6953","Gingival overgrowth","12"
"6954","Impaired renal concentrating ability","39"
"6955","Enuresis","41"
"6956","Increased serum osteocalcin","72"
"6957","Decreased urinary calcium and phosphate excretion","72"
"6958","Variable age of onset of renal manifestations","73"
"6959","Yellow brown discolored teeth","12"
"6960","Normal size and shape of teeth","12"
"6961","Enamel is of normal thickness","12"
"6962","Excessive sensitivity to hot and cold","12"
"6963","Enamel is prone to chipping","12"
"6964","Enamel is slightly more opaque than dentin on radiograph","12"
"6965","Anterior openbite (in one patient)","12"
"6966","Detailed clinical information provided for 2 KLK-mutation-positive families (last curated March 2015)","73"
"6967","Attention deficit hyperactivity disorder","59"
"6968","2-aminoadipic aciduria","72"
"6969","2-oxoadipic aciduria","72"
"6970","Based on report of 2 patients with DHTKD1 mutation (last curated November 2014)","73"
"6971","Lacrimation (early symptom)","9"
"6972","Blurred vision (early symptom)","9"
"6973","Photophobia (early symptom)","9"
"6974","Foreign-body sensation (early symptom)","9"
"6975","Raised, yellowish-gray gelatinous masses (subepithelium and anterior stroma)","9"
"6976","Incidence 1 in 300,000 in Japan","73"
"6977","Spasticity of the facial muscles","7"
"6978","Sialorrhea","11"
"6979","Difficulty in tongue movements","11"
"6980","Amyotrophy of hand muscles","55"
"6981","Amyotrophy of distal limb muscles","55"
"6982","Muscle biopsy shows neurogenic atrophy","55"
"6983","Spasticity of lower and upper limbs","57"
"6984","Spastic tetraparesis","57"
"6985","Spasticity of pharyngeal muscles","57"
"6986","Spastic dysarthria","57"
"6987","Spasticity of facial muscles","57"
"6988","Pseudobulbar symptoms (uncontrolled laughter, weeping)","57"
"6989","Anarthria","57"
"6990","Lower motor neuron signs","57"
"6991","EMG shows evidence of denervation","57"
"6992","No sensory abnormalities","58"
"6993","Age at onset 3 to 23 years","73"
"6994","Allelic disorder to juvenile primary lateral sclerosis (PLSJ,","73"
"6995","Allelic disorder to infantile-onset ascending spastic paralysis (IAHSP,","73"
"6996","Facial diplegia due to peripheral neuropathy","7"
"6997","Decreased corneal sensation due to peripheral neuropathy","9"
"6998","Cicatricial ectropion","9"
"6999","Incomplete eyelid closure","9"
"7000","Exposure keratopathy","9"
"7001","Enlarged, yellow-orange tonsils","11"
"7002","Heart disease, premature","15"
"7003","Myocardial infarction","15"
"7004","Coronary artery disease, premature","16"
"7005","Distal loss of facial hair","54"
"7006","Distal muscle atrophy due to peripheral neuropathy","55"
"7007","Syringomyelia-like syndrome","56"
"7008","Pain and temperature sensation loss","58"
"7009","Nerve biopsy showed demyelination, remyelination, and deposition of fat droplets in axons","58"
"7010","Decreased serum HDL cholesterol","72"
"7011","Decreased or absent apolipoprotein A-I","72"
"7012","Accumulation of cholesterol esters in various tissues","72"
"7013","Deficient efflux of intracellular cholesterol","72"
"7014","Anemia (not responsive to pyridoxine supplementation)","63"
"7015","Microcytosis","63"
"7016","Ringed sideroblasts on bone marrow aspirate","63"
"7017","Increased serum ferritin","72"
"7018","Iron malabsorption","33"
"7019","Anemia, hypochromic microcytic","63"
"7020","Anemia, unresponsive to oral iron and only partially responsive to parenteral iron","63"
"7021","Inappropriately normal or increased plasma hepcidin","72"
"7022","Iris hypoplasia","9"
"7023","Scalloped pupillary margins of iris","9"
"7024","Visual impairment, mild to moderate","9"
"7025","General hypotonia","57"
"7026","Mental retardation, mild to severe Cerebellar hypoplasia/atrophy","57"
"7027","Three patients with homozygous or compound heterozygous mutations have been reported (last curated June 2016)","73"
"7028","Complete absence of all fingernails (anonychia), congenital","53"
"7029","Complete absence of all toenails","53"
"7030","Patients have no abnormalities of hair, teeth, or bone","73"
"7031","Growth failure, postnatal","4"
"7032","Multiple supernumerary teeth (rare)","12"
"7033","Extra ribs","24"
"7034","Fused ribs","24"
"7035","Underdeveloped vertebrae","44"
"7036","Butterfly vertebrae","44"
"7037","Reduction of white matter, generalized","57"
"7038","Mesial temporal brain malformations","57"
"7039","Hypoplasia of corpus callosum","57"
"7040","Anterior pituitary hypoplasia","57"
"7041","Spastic diplegia","57"
"7042","Anterior pituitary hypoplasia","62"
"7043","Prominent philtrum","7"
"7044","Clinical anophthalmia, unilateral/bilateral (87%)","9"
"7045","Small orbits","9"
"7046","Normal eyelashes, eyebrows","9"
"7047","Short palpebral fissure","9"
"7048","Flared nostrils","10"
"7049","Inferior vena cava interruption with azygos continuation","16"
"7050","Hypoplastic fibula","46"
"7051","Bowed tibia","46"
"7052","Fused 4th-5th metacarpals","47"
"7053","Camptodactyly (2nd-5th fingers)","47"
"7054","Clubfoot","48"
"7055","Widened gap 1st-2nd toes","48"
"7056","Normal eyelashes","54"
"7057","Normal eyebrows","54"
"7058","Mental retardation (47%)","57"
"7059","Large anterior fontanelle","6"
"7060","Stenotic external auditory canals","8"
"7061","Choanal atresia or choanal stenosis","10"
"7062","Upper airway obstruction","20"
"7063","Narrow chest","24"
"7064","Craniosynostosis, coronal and lambdoidal","43"
"7065","Narrow pelvis","45"
"7066","Neonatal femoral fractures","46"
"7067","Variable mental retardation","57"
"7068","Early death often due to respiratory complications","73"
"7069","For a similar phenotype with genital anomalies and disordered steroidogenesis see POR deficiency ","73"
"7070","Lipemia retinalis (in severe cases)","9"
"7071","Eruptive xanthomas","50"
"7072","Decreased plasma apolipoprotein C-II","72"
"7073","Fasting chylomicronemia","72"
"7074","'Cloudy' or 'pink' blood (lipemia)","72"
"7075","Transfusion of plasma, which has apoC-II, causes decrease in plasma triglycerides","73"
"7076","Growth failure","4"
"7077","Anorexia","28"
"7078","Vomiting","28"
"7079","Progressive spastic quadriplegia","57"
"7080","Protein intolerance","61"
"7081","Hyperarginemia","72"
"7082","Diaminoaciduria (arginuria, lysinuria, cystinuria, ornithinuria)","72"
"7083","Pyrimidinuria","72"
"7084","Elevated CSF amino acids (arginine, ornithine, aspartate, threonine, glycine, and methionine)","72"
"7085","Prevalence is estimated to be 1 in 1,100,000","73"
"7086","Elevated serum glutamic oxaloacetic transaminase (SGOT)","29"
"7087","Elevated serum glutamic pyruvic transaminase (SGPT)","29"
"7088","Protein avoidance","33"
"7089","Trichorrhexis nodosa","54"
"7090","Dry brittle hair","54"
"7091","Lethargy","59"
"7092","Episodic ammonia intoxication","61"
"7093","Respiratory alkalosis","61"
"7094","Arginine deficiency","61"
"7095","High plasma citrulline (100-300 micromolar)","72"
"7096","High plasma glutamine","72"
"7097","Hepatic argininosuccinase deficiency","72"
"7098","Argininosuccinicaciduria","72"
"7099","Elevated serum glutamic oxaloacetic transaminase (SGOT)","72"
"7100","Elevated serum glutamic pyruvic transaminase (SGPT)","72"
"7101","Onset in neonatal period or infancy","73"
"7102","Prevalence is estimated to be 1 in 150,000","73"
"7103","Deafness, conductive (in some patients)","8"
"7104","Angioid retinal streaks (in some patients)","9"
"7105","Pseudoxanthomatous skin lesions (in some patients)","13"
"7106","Cardiac dysfunction","15"
"7107","Generalized calcification of arteries, including aorta and intraparenchymal arteries","16"
"7108","Arterial stenosis due to myointimal proliferation","16"
"7109","Panarteritis (rare)","16"
"7110","Periumbilical pseudoxanthomatous skin lesions (in some patients)","28"
"7111","Periarticular calcification (in some patients)","42"
"7112","Hypophosphatemic rickets (in some patients)","42"
"7113","Pseudoxanthomatous skin lesions (in some patients)","50"
"7114","Hypophosphatemia due to decreased renal tubular phosphate reabsorption","61"
"7115","Most patients die in infancy","73"
"7116","Features of pseudoxanthoma elasticum seen in later childhood in some surviving patients","73"
"7117","Keratoconus (less common)","9"
"7118","Ventricular hypertrophy","15"
"7119","Arterial tortuosity (large and medium-sized arteries including aorta)","16"
"7120","Elongated arteries (large and medium-sized arteries including aorta)","16"
"7121","Arterial aneurysms","16"
"7122","Aortic stenosis","16"
"7123","Arterial vessels show fragmentation of the internal elastic membrane","16"
"7124","Arterial vessels show disruption of the elastic fibers of the tunica media","16"
"7125","Increased risk of thrombosis","16"
"7126","Hiatal hernia","26"
"7127","Sliding hernia","26"
"7128","Gastric hernia","26"
