"mimnumber","full_name","short_name"
"259420","OSTEOGENESIS IMPERFECTA, TYPE III","OI3"
"259440","OSTEOGENESIS IMPERFECTA, TYPE IX","OI9"
"259450","BRUCK SYNDROME 1","BRKS1"
"259600","MULTICENTRIC OSTEOLYSIS, NODULOSIS, AND ARTHROPATHY","MONA"
"259700","OSTEOPETROSIS, AUTOSOMAL RECESSIVE 1","OPTB1"
"259770","OSTEOPOROSIS-PSEUDOGLIOMA SYNDROME","OPPG"
"259775","RAINE SYNDROME","RNS"
"259900","HYPEROXALURIA, PRIMARY, TYPE I","HP1"
"260000","HYPEROXALURIA, PRIMARY, TYPE II","HP2"
"260005","5-OXOPROLINASE DEFICIENCY","OPLAHD"
"260300","PARKINSON DISEASE 15, AUTOSOMAL RECESSIVE EARLY-ONSET","PARK15"
"260350","PANCREATIC CANCER","null"
"260370","PANCREATIC AGENESIS 1","PAGEN1"
"260400","SHWACHMAN-DIAMOND SYNDROME","SDS"
"260500","PAPILLOMA OF CHOROID PLEXUS","CPP"
"260565","PEHO SYNDROME","PEHO"
"260600","LEUKODYSTROPHY, HYPOMYELINATING, 3","HLD3"
"260660","COUSIN SYNDROME","null"
"260800","PENTOSURIA","PNTSU"
"260920","HYPER-IgD SYNDROME","HIDS"
"261000","INTRINSIC FACTOR DEFICIENCY","IFD"
"261100","MEGALOBLASTIC ANEMIA 1","null"
"261500","EOSINOPHIL PEROXIDASE DEFICIENCY","EPXD"
"261515","D-BIFUNCTIONAL PROTEIN DEFICIENCY","null"
"261540","PETERS-PLUS SYNDROME","null"
"261600","PHENYLKETONURIA","PKU"
"261630","HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C","HPABH4C"
"261640","HYPERPHENYLALANINEMIA, BH4-DEFICIENT, A","HPABH4A"
"261670","GLYCOGEN STORAGE DISEASE X","GSD10"
"261740","GLYCOGEN STORAGE DISEASE OF HEART, LETHAL CONGENITAL","null"
"261750","GLYCOGEN STORAGE DISEASE IXb","GSD9B"
"262000","BJORNSTAD SYNDROME","BJS"
"262190","PINEAL HYPERPLASIA, INSULIN-RESISTANT DIABETES MELLITUS, AND SOMATIC ABNORMALITIES","null"
"262300","ACHROMATOPSIA 3","ACHM3"
"262600","PITUITARY HORMONE DEFICIENCY, COMBINED, 2","CPHD2"
"262700","PITUITARY HORMONE DEFICIENCY, COMBINED, 4","CPHD4"
"263200","POLYCYSTIC KIDNEY DISEASE, AUTOSOMAL RECESSIVE","ARPKD"
"263210","GILLESSEN-KAESBACH-NISHIMURA SYNDROME","GIKANIS"
"263300","POLYCYTHEMIA VERA","PV"
"263400","ERYTHROCYTOSIS, FAMILIAL, 2","ECYT2"
"263520","SHORT-RIB THORACIC DYSPLASIA 6 WITH OR WITHOUT POLYDACTYLY","SRTD6"
"263570","POLYGLUCOSAN BODY NEUROPATHY, ADULT FORM","APBN"
"263650","POPLITEAL PTERYGIUM SYNDROME, LETHAL TYPE","null"
"263700","PORPHYRIA, CONGENITAL ERYTHROPOIETIC","null"
"263750","POSTAXIAL ACROFACIAL DYSOSTOSIS","POADS"
"263800","GITELMAN SYNDROME","GTLMNS"
"264070","HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D","HPABH4D"
"264350","PSEUDOHYPOALDOSTERONISM, TYPE I, AUTOSOMAL RECESSIVE","PHA1B"
"264470","PEROXISOMAL ACYL-CoA OXIDASE DEFICIENCY","null"
"264600","PSEUDOVAGINAL PERINEOSCROTAL HYPOSPADIAS","PPSH"
"264700","VITAMIN D HYDROXYLATION-DEFICIENT RICKETS, TYPE 1A","VDDR1A"
"264800","PSEUDOXANTHOMA ELASTICUM","PXE"
"265000","MULTIPLE PTERYGIUM SYNDROME, ESCOBAR VARIANT","EVMPS"
"265050","3MC SYNDROME 2","3MC2"
"265100","PULMONARY ALVEOLAR MICROLITHIASIS","null"
"265120","SURFACTANT METABOLISM DYSFUNCTION, PULMONARY, 1","SMDP1"
"265380","ALVEOLAR CAPILLARY DYSPLASIA WITH MISALIGNMENT OF PULMONARY VEINS","ACDMPV"
"265450","PULMONARY VENOOCCLUSIVE DISEASE 1, AUTOSOMAL DOMINANT","PVOD1"
"265800","PYCNODYSOSTOSIS","null"
"265900","PYLE DISEASE","PYL"
"266100","EPILEPSY, PYRIDOXINE-DEPENDENT","EPD"
"266150","PYRUVATE CARBOXYLASE DEFICIENCY","null"
"266200","PYRUVATE KINASE DEFICIENCY OF RED CELLS","null"
"266265","CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIc","CDG2C"
"266500","REFSUM DISEASE, CLASSIC","null"
"266510","PEROXISOME BIOGENESIS DISORDER 3B","PBD3B"
"266600","INFLAMMATORY BOWEL DISEASE (CROHN DISEASE) 1","IBD1"
"266900","SENIOR-LOKEN SYNDROME 1","SLSN1"
"266920","SHORT-RIB THORACIC DYSPLASIA 9 WITH OR WITHOUT POLYDACTYLY","SRTD9"
"267000","PERLMAN SYNDROME","PRLMNS"
"267010","MECKEL SYNDROME, TYPE 7","MKS7"
"267300","RENAL TUBULAR ACIDOSIS, DISTAL, WITH PROGRESSIVE NERVE DEAFNESS","null"
"267430","RENAL TUBULAR DYSGENESIS","RTD"
"267500","RETICULAR DYSGENESIS","null"
"267750","KNOBLOCH SYNDROME 1","KNO1"
"268130","REVESZ SYNDROME","null"
"268200","MYOGLOBINURIA, ACUTE RECURRENT, AUTOSOMAL RECESSIVE","null"
"268300","ROBERTS SYNDROME","RBS"
"268305","ROBIN SEQUENCE WITH CLEFT MANDIBLE AND LIMB ANOMALIES","null"
"268310","ROBINOW SYNDROME, AUTOSOMAL RECESSIVE","RRS"
"268400","ROTHMUND-THOMSON SYNDROME","RTS"
"269000","SC PHOCOMELIA SYNDROME","null"
"269150","SCHINZEL-GIEDION MIDFACE RETRACTION SYNDROME","null"
"269250","SCHNECKENBECKEN DYSPLASIA","null"
"269400","ANTERIOR SEGMENT DYSGENESIS 7","ASGD7"
"269500","SCLEROSTEOSIS 1","SOST1"
"269700","LIPODYSTROPHY, CONGENITAL GENERALIZED, TYPE 2","CGL2"
"269840","IMMUNODEFICIENCY 48","IMD48"
"269880","SHORT SYNDROME","null"
"269920","INFANTILE SIALIC ACID STORAGE DISEASE","ISSD"
"269921","SIALURIA","null"
"270100","HETEROTAXY, VISCERAL, 5, AUTOSOMAL","HTX5"
"270200","SJOGREN-LARSSON SYNDROME","SLS"
"270300","PEELING SKIN SYNDROME 1","PSS1"
"270400","SMITH-LEMLI-OPITZ SYNDROME","SLOS"
"270420","DIARRHEA 3, SECRETORY SODIUM, CONGENITAL, WITH OR WITHOUT OTHER CONGENITAL ANOMALIES","DIAR3"
"270450","INSULIN-LIKE GROWTH FACTOR I, RESISTANCE TO","null"
"270550","SPASTIC ATAXIA, CHARLEVOIX-SAGUENAY TYPE","SACS"
"270685","SPASTIC PARAPLEGIA 17, AUTOSOMAL DOMINANT","SPG17"
"270700","SPASTIC PARAPLEGIA 15, AUTOSOMAL RECESSIVE","SPG15"
"270750","SPASTIC PARAPLEGIA 23","SPG23"
"270800","SPASTIC PARAPLEGIA 5A, AUTOSOMAL RECESSIVE","SPG5A"
"270960","SPERMATOGENIC FAILURE 4","SPGF4"
"270970","SPHEROCYTOSIS, TYPE 3","SPH3"
"271150","SPINAL MUSCULAR ATROPHY, TYPE IV","SMA4"
"271245","MITOCHONDRIAL DNA DEPLETION SYNDROME 7 (HEPATOCEREBRAL TYPE)","MTDPS7"
"271400","ASPLENIA, ISOLATED CONGENITAL","ICAS"
"271640","SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH JOINT LAXITY, TYPE 1, WITH OR WITHOUT FRACTURES","SEMDJL1"
"271665","SPONDYLOMETAEPIPHYSEAL DYSPLASIA, SHORT LIMB-HAND TYPE","null"
"271700","SPONDYLOPERIPHERAL DYSPLASIA","null"
"271900","CANAVAN DISEASE","null"
"271930","STRIATONIGRAL DEGENERATION, INFANTILE","SNDI"
"271980","SUCCINIC SEMIALDEHYDE DEHYDROGENASE DEFICIENCY","SSADHD"
"272200","MULTIPLE SULFATASE DEFICIENCY","MSD"
"272300","SULFOCYSTEINURIA","null"
"272430","COLD-INDUCED SWEATING SYNDROME 1","CISS1"
"272440","FILIPPI SYNDROME","FLPIS"
"272460","SPONDYLOCARPOTARSAL SYNOSTOSIS SYNDROME","SCT"
"272750","GM2-GANGLIOSIDOSIS, AB VARIANT","null"
"272800","TAY-SACHS DISEASE","TSD"
"273300","TESTICULAR GERM CELL TUMOR","TGCT"
"273395","TETRAAMELIA SYNDROME, AUTOSOMAL RECESSIVE","TETAMS"
"273750","THREE M SYNDROME 1","3M1"
"273800","GLANZMANN THROMBASTHENIA","GT"
"273900","THROMBOCYTOPENIA 3","THC3"
"274000","THROMBOCYTOPENIA-ABSENT RADIUS SYNDROME","TAR"
"274150","THROMBOTIC THROMBOCYTOPENIC PURPURA, CONGENITAL","TTP"
"274270","DIHYDROPYRIMIDINE DEHYDROGENASE DEFICIENCY","null"
"274400","THYROID DYSHORMONOGENESIS 1","TDH1"
"274500","THYROID DYSHORMONOGENESIS 2A","TDH2A"
"274600","PENDRED SYNDROME","PDS"
"274700","THYROID DYSHORMONOGENESIS 3","TDH3"
"274800","THYROID DYSHORMONOGENESIS 4","TDH4"
"274900","THYROID DYSHORMONOGENESIS 5","TDH5"
"275100","HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 4","CHNG4"
"275200","HYPOTHYROIDISM, CONGENITAL, NONGOITROUS, 1","CHNG1"
"275210","RESTRICTIVE DERMOPATHY, LETHAL","null"
"275350","TRANSCOBALAMIN II DEFICIENCY","null"
"275630","CHANARIN-DORFMAN SYNDROME","CDS"
"275900","SPASTIC PARAPLEGIA 20, AUTOSOMAL RECESSIVE","SPG20"
"276300","MISMATCH REPAIR CANCER SYNDROME","MMRCS"
"276700","TYROSINEMIA, TYPE I","TYRSN1"
"276710","TYROSINEMIA, TYPE III","TYRSN3"
"276820","ULNA AND FIBULA, ABSENCE OF, WITH SEVERE LIMB DEFICIENCY","null"
"276880","UROCANASE DEFICIENCY","UROCD"
"276900","USHER SYNDROME, TYPE I","USH1"
"276901","USHER SYNDROME, TYPE IIA","USH2A"
"276902","USHER SYNDROME, TYPE IIIA","USH3A"
"276904","USHER SYNDROME, TYPE IC","USH1C"
"277170","OROFACIODIGITAL SYNDROME VI","OFD6"
"277180","VAS DEFERENS, CONGENITAL BILATERAL APLASIA OF","CBAVD"
"277380","METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblF TYPE","null"
"277400","METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblC TYPE","null"
"277410","METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, cblD TYPE","null"
"277440","VITAMIN D-DEPENDENT RICKETS, TYPE 2A","VDDR2A"
"277470","PONTOCEREBELLAR HYPOPLASIA, TYPE 2A","PCH2A"
"277480","VON WILLEBRAND DISEASE, TYPE 3","VWD3"
"277580","WAARDENBURG SYNDROME, TYPE 4A","WS4A"
"277590","WEAVER SYNDROME","WVS"
"277600","WEILL-MARCHESANI SYNDROME 1","WMS1"
"277610","WEISSENBACHER-ZWEYMULLER SYNDROME","WZS"
"277700","WERNER SYNDROME","WRN"
"277900","WILSON DISEASE","null"
"278000","LYSOSOMAL ACID LIPASE DEFICIENCY","null"
"278150","HYPOTRICHOSIS 8","HYPT8"
"278250","WRINKLY SKIN SYNDROME","WSS"
"278720","XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP C","XPC"
"278730","XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP D","XPD"
"278760","XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP F","XPF"
"278780","XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP G","XPG"
"278850","46,XX SEX REVERSAL 2","SRXX2"
"280000","COLOBOMA, CONGENITAL HEART DISEASE, ICHTHYOSIFORM DERMATOSIS, MENTAL RETARDATION, AND EAR ANOMALIES SYNDROME","CHIME"
"300000","OPITZ GBBB SYNDROME, TYPE I","GBBB1"
"300004","CORPUS CALLOSUM, AGENESIS OF, WITH ABNORMAL GENITALIA","null"
"300009","DENT DISEASE 1","null"
"300048","INTESTINAL PSEUDOOBSTRUCTION, NEURONAL, CHRONIC IDIOPATHIC, X-LINKED","null"
"300049","PERIVENTRICULAR NODULAR HETEROTOPIA 1","PVNH1"
"300055","MENTAL RETARDATION, X-LINKED, SYNDROMIC 13","MRXS13"
"300066","DEAFNESS, X-LINKED 4","DFNX4"
"300067","LISSENCEPHALY, X-LINKED, 1","LISX1"
"300068","ANDROGEN INSENSITIVITY SYNDROME","AIS"
"300088","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 9","EIEE9"
"300100","ADRENOLEUKODYSTROPHY","ALD"
"300106","SPONDYLOEPIMETAPHYSEAL DYSPLASIA, X-LINKED","SEMDX"
"300114","MENTAL RETARDATION, X-LINKED 49","MRX49"
"300143","MENTAL RETARDATION, X-LINKED 21","MRX21"
"300166","MICROPHTHALMIA, SYNDROMIC 2","MCOPS2"
"300200","ADRENAL HYPOPLASIA, CONGENITAL","AHC"
"300209","SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 2","SGBS2"
"300210","MENTAL RETARDATION, X-LINKED 58","MRX58"
"300215","LISSENCEPHALY, X-LINKED, 2","LISX2"
"300238","MENTAL RETARDATION, X-LINKED, SYNDROMIC 11","MRXS11"
"300243","MENTAL RETARDATION, X-LINKED, SYNDROMIC, CHRISTIANSON TYPE","MRXSCH"
"300257","DANON DISEASE","null"
"300260","LUBS X-LINKED MENTAL RETARDATION SYNDROME","MRXSL"
"300263","SIDERIUS X-LINKED MENTAL RETARDATION SYNDROME","MRXSSD"
"300271","MENTAL RETARDATION, X-LINKED 72","MRX72"
"300299","NEUTROPENIA, SEVERE CONGENITAL, X-LINKED","SCNX"
"300322","LESCH-NYHAN SYNDROME","LNS"
"300323","KELLEY-SEEGMILLER SYNDROME","null"
"300352","CEREBRAL CREATINE DEFICIENCY SYNDROME 1","CCDS1"
"300354","MENTAL RETARDATION, X-LINKED, SYNDROMIC, CABEZAS TYPE","MRXSC"
"300367","THROMBOCYTOPENIA, X-LINKED, WITH OR WITHOUT DYSERYTHROPOIETIC ANEMIA","XLTDA"
"300373","OSTEOPATHIA STRIATA WITH CRANIAL SCLEROSIS","OSCS"
"300376","MUSCULAR DYSTROPHY, BECKER TYPE","BMD"
"300387","MENTAL RETARDATION, X-LINKED 63","MRX63"
"300400","SEVERE COMBINED IMMUNODEFICIENCY, X-LINKED","SCIDX1"
"300419","MENTAL RETARDATION, X-LINKED, WITH OR WITHOUT SEIZURES, ARX-RELATED","MRXARX"
"300423","MENTAL RETARDATION, X-LINKED, SYNDROMIC, HEDERA TYPE","MRXSH"
"300424","RETINITIS PIGMENTOSA 23","RP23"
"300425","AUTISM, SUSCEPTIBILITY TO, X-LINKED 1","AUTSX1"
"300434","STOCCO DOS SANTOS X-LINKED MENTAL RETARDATION SYNDROME","SDSX"
"300436","MENTAL RETARDATION, X-LINKED 46","MRX46"
"300438","HSD10 MITOCHONDRIAL DISEASE","HSD10MD"
"300472","CORPUS CALLOSUM, AGENESIS OF, WITH MENTAL RETARDATION, OCULAR COLOBOMA, AND MICROGNATHIA","null"
"300475","DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION","DDCH"
"300476","CONE-ROD DYSTROPHY, X-LINKED, 3","CORDX3"
"300486","MENTAL RETARDATION, X-LINKED, WITH CEREBELLAR HYPOPLASIA AND DISTINCTIVE FACIAL APPEARANCE","null"
"300489","SPINAL MUSCULAR ATROPHY, DISTAL, X-LINKED 3","SMAX3"
"300491","EPILEPSY, X-LINKED, WITH VARIABLE LEARNING DISABILITIES AND BEHAVIOR DISORDERS","null"
"300494","ASPERGER SYNDROME, X-LINKED, SUSCEPTIBILITY TO, 1","ASPGX1"
"300495","AUTISM, SUSCEPTIBILITY TO, X-LINKED 2","AUTSX2"
"300496","AUTISM, SUSCEPTIBILITY TO, X-LINKED 3","AUTSX3"
"300497","ASPERGER SYNDROME, X-LINKED, SUSCEPTIBILITY TO, 2","ASPGX2"
"300510","OVARIAN DYSGENESIS 2","ODG2"
"300511","PREMATURE OVARIAN FAILURE 2A","POF2A"
"300523","ALLAN-HERNDON-DUDLEY SYNDROME","AHDS"
"300534","MENTAL RETARDATION, X-LINKED, SYNDROMIC, CLAES-JENSEN TYPE","MRXSCJ"
"300539","NEPHROGENIC SYNDROME OF INAPPROPRIATE ANTIDIURESIS","NSIAD"
"300554","HYPOPHOSPHATEMIC RICKETS, X-LINKED RECESSIVE","null"
"300555","DENT DISEASE 2","null"
"300558","MENTAL RETARDATION, X-LINKED 30","MRX30"
"300559","GLYCOGEN STORAGE DISEASE, TYPE IXd","GSD9D"
"300577","MENTAL RETARDATION, X-LINKED 91","MRX91"
"300578","CHROMOSOME Xp11.3 DELETION SYNDROME","null"
"300590","CORNELIA DE LANGE SYNDROME 2","CDLS2"
"300604","PREMATURE OVARIAN FAILURE 2B","POF2B"
"300607","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 8","EIEE8"
"300614","DEAFNESS, X-LINKED 5","DFNX5"
"300615","BRUNNER SYNDROME","BRNRS"
"300623","FRAGILE X TREMOR/ATAXIA SYNDROME","FXTAS"
"300624","FRAGILE X SYNDROME","null"
"300633","HYPOSPADIAS 1, X-LINKED","HYSP1"
"300636","IMMUNODEFICIENCY 33","IMD33"
"300645","IMMUNODEFICIENCY 34","IMD34"
"300653","PHOSPHOGLYCERATE KINASE 1 DEFICIENCY","null"
"300659","MENTAL RETARDATION, X-LINKED 93","MRX93"
"300661","PHOSPHORIBOSYLPYROPHOSPHATE SYNTHETASE SUPERACTIVITY","null"
"300672","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 2","EIEE2"
"300673","ENCEPHALOPATHY, NEONATAL SEVERE, DUE TO MECP2 MUTATIONS","null"
"300676","MENTAL RETARDATION, X-LINKED, SYNDROMIC 14","MRXS14"
"300695","SCAPULOPERONEAL MYOPATHY, X-LINKED DOMINANT","SPM"
"300696","MYOPATHY, X-LINKED, WITH POSTURAL MUSCLE ATROPHY","XMPMA"
"300699","MENTAL RETARDATION, X-LINKED, SYNDROMIC, WU TYPE","MRXSW"
"300707","TOE SYNDACTYLY, TELECANTHUS, AND ANOGENITAL AND RENAL MALFORMATIONS","STAR"
"300717","REDUCING BODY MYOPATHY, X-LINKED 1A, SEVERE, WITH INFANTILE OR EARLY CHILDHOOD ONSET","RBMX1A"
"300718","REDUCING BODY MYOPATHY, X-LINKED 1B, WITH LATE CHILDHOOD OR ADULT ONSET","RBMX1B"
"300749","MENTAL RETARDATION AND MICROCEPHALY WITH PONTINE AND CEREBELLAR HYPOPLASIA","MICPCH"
"300751","ANEMIA, SIDEROBLASTIC, 1","SIDBA1"
"300752","PROTOPORPHYRIA, ERYTHROPOIETIC, X-LINKED","XLEPP"
"300755","AGAMMAGLOBULINEMIA, X-LINKED","XLA"
"300758","HYPOSPADIAS 2, X-LINKED","HYSP2"
"300802","MENTAL RETARDATION, X-LINKED 96","MRX96"
"300803","MENTAL RETARDATION, X-LINKED 97","MRX97"
"300804","JOUBERT SYNDROME 10","JBTS10"
"300816","COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 6","COXPD6"
"300818","PAROXYSMAL NOCTURNAL HEMOGLOBINURIA 1","PNH1"
"300830","AUTISM, SUSCEPTIBILITY TO, X-LINKED 4","AUTSX4"
"300831","CK SYNDROME","null"
"300833","46,XX SEX REVERSAL 3","SRXX3"
"300834","MACULAR DEGENERATION, X-LINKED ATROPHIC","null"
"300835","ANEMIA, X-LINKED, WITH OR WITHOUT NEUTROPENIA AND/OR PLATELET ABNORMALITIES","XLANP"
"300842","MCLEOD SYNDROME","MCLDS"
"300844","MENTAL RETARDATION, X-LINKED 19","MRX19"
"300849","MENTAL RETARDATION, X-LINKED 41","MRX41"
"300850","MENTAL RETARDATION, X-LINKED 90","MRX90"
"300855","OGDEN SYNDROME","OGDNS"
"300857","AMYOTROPHIC LATERAL SCLEROSIS 15 WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA","ALS15"
"300860","MENTAL RETARDATION, X-LINKED, SYNDROMIC, NASCIMENTO TYPE","MRXSN"
"300863","CHONDRODYSPLASIA WITH PLATYSPONDYLY, DISTINCTIVE BRACHYDACTYLY, HYDROCEPHALY, AND MICROPHTHALMIA","null"
"300867","KABUKI SYNDROME 2","KABUK2"
"300868","MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 2","MCAHS2"
"300872","AUTISM, SUSCEPTIBILITY TO, X-LINKED 6","AUTSX6"
"300882","CORNELIA DE LANGE SYNDROME 5","CDLS5"
"300884","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 36","EIEE36"
"300886","MENTAL RETARDATION, X-LINKED, SYNDROMIC 32","MRXS32"
"300887","LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 2","LSDMCA2"
"300888","HYPOTHYROIDISM, CENTRAL, AND TESTICULAR ENLARGEMENT","CHTE"
"300894","NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 5","NBIA5"
"300895","OHDO SYNDROME, X-LINKED","OHDOX"
"300896","CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIm","CDG2M"
"300905","CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 6","CMTX6"
"300908","ANEMIA, NONSPHEROCYTIC HEMOLYTIC, DUE TO G6PD DEFICIENCY","null"
"300910","BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 18","BMND18"
"300911","PARKINSONISM WITH SPASTICITY, X-LINKED","XPDS"
"300912","MENTAL RETARDATION, X-LINKED 98","MRX98"
"300914","DEAFNESS, X-LINKED 6","DFNX6"
"300915","MICROPHTHALMIA, SYNDROMIC 13","MCOPS13"
"300918","PALMOPLANTAR KERATODERMA, MUTILATING, WITH PERIORIFICIAL KERATOTIC PLAQUES, X-LINKED","null"
"300919","MENTAL RETARDATION, X-LINKED 99","MRX99"
"300923","MENTAL RETARDATION, X-LINKED 100","MRX100"
"300928","MENTAL RETARDATION, X-LINKED 101","MRX101"
"300934","CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iy","CDG1Y"
"300946","DIAMOND-BLACKFAN ANEMIA 14 WITH MANDIBULOFACIAL DYSOSTOSIS","DBA14"
"300952","LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 3","LSDMCA3"
"300953","TRICHOTHIODYSTROPHY 5, NONPHOTOSENSITIVE","TTD5"
"300957","MENTAL RETARDATION, X-LINKED 12","MRX12"
"300958","MENTAL RETARDATION, X-LINKED 102","MRX102"
"300960","MEND SYNDROME","MEND"
"300963","RITSCHER-SCHINZEL SYNDROME 2","RTSC2"
"300966","MENTAL RETARDATION, X-LINKED, SYNDROMIC 33","MRXS33"
"300967","MENTAL RETARDATION, X-LINKED, SYNDROMIC 34","MRXS34"
"300968","MENTAL RETARDATION, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED","MRXS99F"
"300971","BARTTER SYNDROME, TYPE 5, ANTENATAL, TRANSIENT","BARTS5"
"300972","IMMUNODEFICIENCY 47","IMD47"
"300978","MENTAL RETARDATION, X-LINKED 61","MRX61"
"300982","MENTAL RETARDATION, X-LINKED 103","MRX103"
"300983","MENTAL RETARDATION, X-LINKED 104","MRX104"
"300984","MENTAL RETARDATION, X-LINKED 105","MRX105"
"300985","VAS DEFERENS, CONGENITAL BILATERAL APLASIA OF, X-LINKED","CBAVDX"
"300986","MENTAL RETARDATION, X-LINKED, SYNDROMIC, BAIN TYPE","MRXSB"
"300987","MENTAL RETARDATION, X-LINKED, SYNDROMIC, BORCK TYPE","MRXSBRK"
"300988","IMMUNODEFICIENCY 50","IMD50"
"300989","MEESTER-LOEYS SYNDROME","MRLS"
"300990","MIDFACE HYPOPLASIA, HEARING IMPAIRMENT, ELLIPTOCYTOSIS, AND NEPHROCALCINOSIS","MFHIEN"
"300991","CILIARY DYSKINESIA, PRIMARY, 36, X-LINKED","CILD36"
"301000","WISKOTT-ALDRICH SYNDROME","WAS"
"301040","ALPHA-THALASSEMIA/MENTAL RETARDATION SYNDROME, X-LINKED","ATRX"
"301050","ALPORT SYNDROME, X-LINKED","ATS"
"301200","AMELOGENESIS IMPERFECTA, TYPE IE","AI1E"
"301220","PIGMENTARY DISORDER, RETICULATE, WITH SYSTEMIC MANIFESTATIONS, X-LINKED","PDR"
"301310","ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA","ASAT"
"301500","FABRY DISEASE","null"
"301830","SPINAL MUSCULAR ATROPHY, X-LINKED 2","SMAX2"
"301835","ARTS SYNDROME","ARTS"
"301900","BORJESON-FORSSMAN-LEHMANN SYNDROME","BFLS"
"302060","BARTH SYNDROME","BTHS"
"302350","NANCE-HORAN SYNDROME","NHS"
"302500","SPINOCEREBELLAR ATAXIA, X-LINKED 1","SCAX1"
"302800","CHARCOT-MARIE-TOOTH DISEASE, X-LINKED DOMINANT, 1","CMTX1"
"302950","CHONDRODYSPLASIA PUNCTATA 1, X-LINKED RECESSIVE","CDPX1"
"302960","CHONDRODYSPLASIA PUNCTATA 2, X-LINKED DOMINANT","CDPX2"
"303100","CHOROIDEREMIA","CHM"
"303110","CHOROIDEREMIA, DEAFNESS, AND MENTAL RETARDATION","null"
"303350","MASA SYNDROME","null"
"303600","COFFIN-LOWRY SYNDROME","CLS"
"303700","BLUE CONE MONOCHROMACY","BCM"
"304100","CORPUS CALLOSUM, PARTIAL AGENESIS OF, X-LINKED","null"
"304110","CRANIOFRONTONASAL SYNDROME","CFNS"
"304120","OTOPALATODIGITAL SYNDROME, TYPE II","OPD2"
"304150","OCCIPITAL HORN SYNDROME","OHS"
"304340","PETTIGREW SYNDROME","PGS"
"304400","DEAFNESS, X-LINKED 2","DFNX2"
"304500","DEAFNESS, X-LINKED 1","DFNX1"
"304700","MOHR-TRANEBJAERG SYNDROME","MTS"
"304790","IMMUNODYSREGULATION, POLYENDOCRINOPATHY, AND ENTEROPATHY, X-LINKED","IPEX"
"304800","DIABETES INSIPIDUS, NEPHROGENIC, X-LINKED","null"
"305000","DYSKERATOSIS CONGENITA, X-LINKED","DKCX"
"305100","ECTODERMAL DYSPLASIA 1, HYPOHIDROTIC, X-LINKED","XHED"
"305390","EXUDATIVE VITREORETINOPATHY 2, X-LINKED","EVR2"
"305400","AARSKOG-SCOTT SYNDROME","AAS"
"305450","OPITZ-KAVEGGIA SYNDROME","OKS"
"305600","FOCAL DERMAL HYPOPLASIA","FDH"
"305620","FRONTOMETAPHYSEAL DYSPLASIA 1","FMD1"
"306000","GLYCOGEN STORAGE DISEASE IXa1","GSD9A1"
"306400","GRANULOMATOUS DISEASE, CHRONIC, X-LINKED","CDGX"
"306700","HEMOPHILIA A","HEMA"
"306900","HEMOPHILIA B","HEMB"
"306955","HETEROTAXY, VISCERAL, 1, X-LINKED","HTX1"
"307000","HYDROCEPHALUS DUE TO CONGENITAL STENOSIS OF AQUEDUCT OF SYLVIUS","HSAS"
"307030","GLYCEROL KINASE DEFICIENCY","GKD"
"307200","ISOLATED GROWTH HORMONE DEFICIENCY, TYPE III","IGHD3"
"307800","HYPOPHOSPHATEMIC RICKETS, X-LINKED DOMINANT","XLHR"
"308050","CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS","null"
"308100","ICHTHYOSIS, X-LINKED","XLI"
"308205","IFAP SYNDROME WITH OR WITHOUT BRESHECK SYNDROME","null"
