"pid","description","tid","des_ch"
"11265","Omphalocele (rare, in males)","28","脐膨出（罕见，男性）"
"11266","Intestinal malrotation (rare, in males)","33","肠旋转不良（罕见，男性）"
"11267","Anal stenosis (rare, in males)","33","肛门狭窄（罕见，男性）"
"11268","Anal atresia (rare, in males)","33","肛门闭锁（罕见，男性）"
"11269","Multicystic kidney (rare, in males)","39","多囊肾（罕见，男性）"
"11270","Nephrogenic rests (rare, in males)","39","肾源性休息（罕见，男性）"
"11271","Osteopathia striata (linear striations of long bone diametaphyses, only in females)","42","Osteopathia striata（长骨直径的线性条纹，仅在女性中）"
"11272","Increased trabecular thickness seen on iliac bone biopsy","42","髂骨活检显示骨小梁厚度增加"
"11273","Sclerotic cranial base","43","硬化颅底"
"11274","Sclerotic mastoids (31%)","43","硬化乳突（31％）"
"11275","Occipital bossing","43","枕骨老板"
"11276","Cranial sclerosis","43","颅骨硬化"
"11277","Thickened calvaria","43","加厚的颅盖骨"
"11278","Trapezoidal shaped skull","43","梯形头骨"
"11279","Scoliosis (23%)","44","脊柱侧凸（23％）"
"11280","Long, slender fingers","47","细长的手指"
"11281","Duplicate phalanges","47","重复的指骨"
"11282","Spatulate distal phalanges","47","匙形远端趾骨"
"11283","Club feet (in males)","48","俱乐部脚（男性）"
"11284","Nemaline myopathy (in 1 reported male)","55","Nemaline肌病（1例男性报告）"
"11285","Speech delay (10%)","57","语音延迟（10％）"
"11286","Transitional facial palsy (15%)","57","过渡性面神经麻痹（15％）"
"11287","Hypotonia (in males)","57","Hypotonia（男性）"
"11288","Seizures (rare, in males)","57","癫痫发作（罕见，男性）"
"11289","Mental retardation, mild-moderate (28%, usually in males)","57","精神发育迟滞，轻度 - 中度（28％，通常在男性）"
"11290","Partial agenesis of corpus callosum (rare, in males)","57","胼call体部分发育不全（罕见，男性）"
"11291","Increased morbidity/mortality in affected males","73",
"11292","One-third of cases are sporadic","73",
"11293","Onset of linear striations between 5 months and 6 years (only in affected females)","73",
"11294","Cardiomyopathy, late onset","15","心肌病，发病晚"
"11295","Calf and thigh cramping muscle pains","55","小腿和大腿痉挛肌肉疼痛"
"11296","High serum creatine kinase","72",
"11297","Abnormal electrocardiogram","72",
"11298","Abnormal dystrophin on muscle biopsy","72",
"11299","Usual age of onset in the 20s and 30s","73",
"11300","Survival to advanced age","73",
"11301","Gout","48","痛风"
"11302","Uric acid tophi","50",
"11303","Self-injurious behavior, median onset age 2 years","57","自伤行为，中位发病年龄2岁"
"11304","Basal ganglia dysfunction","57","基底神经节功能障碍"
"11305","Spasticity, hyperreflexia","57","痉挛，反射亢进"
"11306","Mental retardation (IQ 45-75)","57","精神发育迟滞（智商45-75）"
"11307","Hyperuricosuria","72",
"11308","Classic Lesch-Nyhan, < 1.5% hypoxanthine phosphoribosyltransferase (HPRT) activity","73",
"11309","Variant Lesch-Nyhan, 1.5-8% HPRT activity with neurologic abnormalities, but no self-injurious behavior","73",
"11310","Partial deficiency of hypoxanthine phosphoribosyltransferase (HPRT, 78% activity)","73",
"11311","Language impairment (in some patients)","57","语言障碍（部分患者）"
"11312","Hypotonia in childhood (in some patients)","57","儿童时期的低血压（某些患者）"
"11313","Increased reflexes","57","反应能力增强"
"11314","Executive function disorder","59",
"11315","Female carriers show skewed X inactivation in leukocytes","72",
"11316","Decreased head circumference","6","头围减少"
"11317","Long, thin face","7","长而瘦的脸"
"11318","Prominent chin","7","突出的下巴"
"11319","Unfolded superior helices","8","展开的上级螺旋"
"11320","Hypermetropia","9","远视"
"11321","Ileus","33","肠梗阻"
"11322","Stub thumb","47","Stub拇指"
"11323","Pes cavus (less common)","48","Pes cavus（不太常见）"
"11324","Speech and language delay, severe","57","言语和语言延迟，严重"
"11325","Poor hand-eye coordination","57","手眼协调能力差"
"11326","Decreased creatine signal seen on magnetic resonance spectroscopy","57","减少磁共振波谱上看到的肌酸酐信号"
"11327","Mild structural abnormalities seen MRI (in some patients)","57","MRI发现轻度结构异常（部分患者）"
"11328","Behavioral changes consistent with an autistic disorder","59",
"11329","Stereotypical motor behaviors","59",
"11330","Impaired social interaction","59",
"11331","Impaired creatine uptake in fibroblasts","72",
"11332","Increased urinary creatine","72",
"11333","Increased plasma creatine","72",
"11334","Increased urinary creatine-to-creatinine ratio","72",
"11335","Carrier females may show neuropsychologic impairment","73",
"11336","Oral thrush","11","鹅口疮"
"11337","Chronic diarrhea","33","慢性腹泻"
"11338","Candidal diaper rash","50",
"11339","Erythematous skin rashes","50",
"11340","Recurrent bacterial meningitis","57","复发性细菌性脑膜炎"
"11341","Frequent bacterial, fungal and viral infections","64",
"11342","Specific antibody production very poor","64",
"11343","Natural killer cells, reduced numbers and cytotoxicity","64",
"11344","Absent T lymphocytes","64",
"11345","Lymphoid depletion","64",
"11346","Lymph nodes are small and poorly developed","64",
"11347","Low absolute lymphocyte count","72",
"11348","Agammaglobulinemia","72",
"11349","Death within first year of life","73",
"11350","Coloboma (iris or optic nerve)","9","Coloboma（虹膜或视神经）"
"11351","Facial dysmorphism","7","面部畸形"
"11352","Quadriplegia","57","四肢瘫痪"
"11353","Hypomyelination","57","Hypomyelination"
"11354","Abnormal liver enzymes during illness","72",
"11355","Photophobia (rare)","9","畏光（罕见）"
"11356","Irregular pigmentation in macular area","9","黄斑区不规则色素沉着"
"11357","Optic disc pallor (rare)","9","光盘苍白（罕见）"
"11358","Loss of foveal reflex (rare)","9","中心凹反射丧失（罕见）"
"11359","Concentric constriction of visual fields (in some patients)","9","视野的同心收缩（在一些患者中）"
"11360","Central scotoma (rare)","9","中央暗点（罕见）"
"11361","Red-green color vision defect","9","红绿色视觉缺陷"
"11362","Dark adaptation defective in both cones and rods","9","暗适应在锥体和杆中都有缺陷"
"11363","Reduced cone responses on electroretinography (ERG)","9","视网膜电图（ERG）减少锥形反应"
"11364","Reduced rod responses on ERG (in some patients)","9","减少对ERG的杆反应（在一些患者中）"
"11365","Thinning of choroid on ocular coherence tomography (in some patients)","9","眼球相干断层扫描术中脉络膜变薄（部分患者）"
"11366","Onset of symptoms in early childhood in most patients","73",
"11367","Disease shows slow progression","73",
"11368","Periorbital fullness (in some patients)","9","眶周饱满（某些患者）"
"11369","Wide palpebral fissures (in some patients)","9","广泛的眼睑裂隙（部分患者）"
"11370","Mental retardation, mild to severe (IQ 21-67 for those reported)","57","精神发育迟滞，轻度至重度（报告的智商为21-67）"
"11371","Delayed speech acquisition","57","延迟语音获取"
"11372","'Drop' attacks","57","'掉落'攻击"
"11373","Parkinsonism (family A)","57","帕金森症（家庭A）"
"11374","Bradykinesia (family A)","57","运动迟缓（家庭A）"
"11375","Gait difficulties (family A)","57","步态困难（家庭A）"
"11376","Hypomimia (family A)","57","Hypomimia（家庭A）"
"11377","Action tremor (1 patient from family A)","57","动作震颤（1名来自A家庭的患者）"
"11378","Agraphesthesia (family A)","57","Agraphesthesia（家庭A）"
"11379","Astereognosis (family A)","57","Astereognosis（家庭A）"
"11380","Cerebellar atrophy (family A)","57","小脑萎缩（家庭A）"
"11381","Cerebral atrophy (1 patient from family A)","57","脑萎缩（1名A族患者）"
"11382","Thin corpus callosum (1 patient from family A)","57","薄胼call体（来自A家庭的1名患者）"
"11383","Extensor plantar responses (1 patient from family A)","57","伸肌腱反应（来自A家庭的1名患者）"
"11384","Hyporeflexia (family A)","58","Hyporeflexia（家庭A）"
"11385","Variable expressivity","73",
"11386","Decreased visual acuity in early childhood","9","儿童早期视力下降"
"11387","Decreased visual fields","9","减少视野"
"11388","Decreased night vision","9","夜视力下降"
"11389","Abnormal color vision","9","色觉异常"
"11390","Atrophy of retinal pigment epithelium","9","视网膜色素上皮萎缩"
"11391","Intraretinal pigmentation in the midperiphery","9","中间的视网膜内色素沉着"
"11392","Attenuation of retinal arterioles","9","视网膜小动脉衰减"
"11393","Nondetectable responses on electroretinography","9","视网膜电图检查无法检测到"
"11394","Posterior subcapsular cataracts (rare)","9","后囊下白内障（罕见）"
"11395","Affected males have onset of poor vision before the age of 2 years","73",
"11396","Carrier females have normal funduscopic examinations and normal waveforms on electroretinography.","73",
"11397","Upturned philtrum","7","向上的人中"
"11398","Marked infraorbital creases","7","明显的眶下折痕"
"11399","Long, tubular nose","10","长而管状的鼻子"
"11400","Microphallus","35","Microphallus"
"11401","Mental retardation, moderate to severe (IQ 40 to 60)","57","精神发育迟滞，中度至重度（智商40至60）"
"11402","Mental retardation, mild, in most carrier females","57","精神发育迟滞，轻度，在大多数载体女性中"
"11403","Disorganization of the anterior cerebellar vermis","57","小脑前蚓的解体"
"11404","Enlarged cisterna magna","57","小大水箱"
"11405","Retrocerebellar cyst","57","Retrocerebellar囊肿"
"11406","Decreased cerebral volume, especially of the frontal lobes","57","脑容量减少，尤其是额叶"
"11407","Most carrier females have mild mental retardation and subtle facial changes","73",
"11408","Mental retardation in 75%","57","精神发育迟滞75％"
"11409","Seizures in 15-30%","57","缉获量在15-30％"
"11410","EEG abnormalities in 20-50% Impaired language development","57","20-50％的脑电图异常语言发育受损"
"11411","Lack of spontaneous play","57","缺乏自发的游戏"
"11412","Impaired use of nonverbal behaviors, such as eye-to-eye gaze, facial expression, body posture, and gestures","59",
"11413","Lack of peer relationships","59",
"11414","Restrictive behavior, interests, and activities","59",
"11415","Stereotyped, repetitive behavior","59",
"11416","Inflexible adherence to routines or rituals","59",
"11417","Increased serum serotonin in 25%","72",
"11418","Onset by 3 years of age","73",
"11419","Male to female ratio 4:1","73",
"11420","Occurs in 2-5 per 10,000 individuals","73",
"11421","Associated with tuberous sclerosis ","73",
"11422","Associated with untreated phenylketonuria ","73",
"11423","Pes varus","48","各种足部"
"11424","Muscle weakness, distal","57","肌肉无力，远端"
"11425","Muscle atrophy, distal","57","肌肉萎缩，远端"
"11426","Lower limbs affected before upper limbs","57","下肢受到上肢影响"
"11427","EMG shows neurogenic changes","57","EMG显示神经源性改变"
"11428","Muscle biopsy shows neurogenic changes","57","肌肉活检显示神经原性变化"
"11429","Peripheral nerve biopsy is normal","58","周围神经活检是正常的"
"11430","Mild distal sensory impairment (in some)","58","轻度远端感觉障碍（某些）"
"11431","Adult onset may also occur","73",
"11432","Affected individuals remain ambulatory in old age","73",
"11433","Partial epilepsy","57","部分性癫痫"
"11434","Autism spectrum disorders","59",
"11435","Learning difficulties","59",
"11436","Affected patients have various combinations of the main clinical features","73",
"11437","Carrier females may be affected","73",
"11438","Bruxism","11","磨牙症"
"11439","Cold hands","47","冷手"
"11440","Cold feet","48","临阵退缩"
"11441","Diminished response to pain","57","减轻对疼痛的反应"
"11442","Normal, timely language development","57","正常，及时的语言发展"
"11443","Impaired social interactions","59",
"11444","Impaired ability to form peer relationships","59",
"11445","Lack of spontaneous play","59",
"11446","Relatively higher cognitive abilities than classic autism","59",
"11447","Impaired social interaction","57","社交互动受损"
"11448","Impaired use of nonverbal behaviors, such as eye-to-eye gaze, facial expression, body posture, and gestures","57","非语言行为的使用受损，例如眼对眼凝视，面部表情，身体姿势和手势"
"11449","Lack of peer relationships","57","缺乏同伴关系"
"11450","Impaired language development","57","语言发展受损"
"11451","Restrictive behavior, interests, and activities","57","限制性行为，兴趣和活动"
"11452","Stereotyped, repetitive behavior","57","刻板的，重复的行为"
"11453","Inflexible adherence to routines or rituals","57","不灵活地遵守惯例或仪式"
"11454","EEG abnormalities in 20-50%","57","脑电图异常在20-50％"
"11455","Hearing loss, sensorineural (in some cases)","8","听力损失，感觉神经（在某些情况下）"
"11456","Mental retardation, nonspecific","57","精神发育迟滞，非特异性"
"11457","Allelic disorder to Rett syndrome ","73",
"11458","Progressive neurodegeneration","57","进行性神经变性"
"11459","Loss of developmental milestones","57","失去发展里程碑"
"11460","Cortical atrophy, mild","57","皮质萎缩，轻度"
"11461","Restlessness","59",
"11462","Lactic acidosis (in some patients)","61",
"11463","Metabolic acidosis (in some patients)","61",
"11464","Patient cells show abnormal mitochondrial morphology","72",
"11465","Decreased activity of 2-methyl-3-hydroxybutyryl Co-A dehydrogenase","72",
"11466","Increased urinary 2-methyl-3 hydroxybutyrate","72",
"11467","Age at onset can range from infancy to childhood","73",
"11468","Less severe phenotype in females","73",
"11469","Severity of phenotype is not related to residual enzyme activity","73",
"11470","Low forehead","7","额头低"
"11471","Relatively long ears","8","耳朵比较长"
"11472","High-bridged nose","10","高桥鼻"
"11473","Upturned nasal tips","10","上翘的鼻尖"
"11474","Mental retardation, borderline-mild in carrier females","57","精神发育迟滞，携带者女性的边缘温和"
"11475","Inarticulate speech Delayed gross motor skills","57","言语迟钝延迟粗大运动技能"
"11476","Posterior slow-wave activity on EEG","57","脑电图后部慢波活动"
"11477","Epilepsy","57","癫痫"
"11478","Schizophrenia-like symptoms (uncommon)","59",
"11479","Short attention span","59",
"11480","Impaired visuospatial perception","59",
"11481","Impaired attentional and executive function","59",
"11482","Some patients can attend special school","73",
"11483","Some patients can hold menial jobs","73",
"11484","Delayed puberty","38","青春期延迟"
"11485","Premature ovarian failure","62",
"11486","Premature menopause","38","过早绝经"
"11487","Low posterior hairline","6","低后发际线"
"11488","Dysmorphic face","7","变形的脸"
"11489","Large front teeth","12","大门牙"
"11490","Clinodactyly of fifth fingers","47","第五指的Clinodactyly"
"11491","Hypotonia from birth to age 12","55","从出生到12岁的低血压"
"11492","Psychomotor retardation, severe (IQ 30)","57","精神运动迟缓，严重（智商30）"
"11493","Unable to speak","57","无法说话"
"11494","Good natured but reserved","59",
"11495","Emotionally unstable with rage-type responses","59",
"11496","100% skewed X-inactivation","59",
"11497","One Swedish patient has been reported (last curated November 2015)","73",
"11498","Retinitis pigmentosa, severe, early-onset","9","视网膜色素变性，严重，早发"
"11499","Decreased visual acuity, in some female carriers","9","在一些女性携带者中，视力下降"
"11500","Night blindness, in some female carriers","9","夜盲症，在一些女性携带者中"
"11501","Normal intelligence in carrier females","57","载体女性的正常智力"
"11502","Elongated face","7","瘦长的脸"
"11503","'Simple' ears","8","'简单'的耳朵"
"11504","Pinna modeling anomalies","8","Pinna建模异常"
"11505","Prominent antihelix","8","突出的反螺旋"
"11506","Flattened antihelix","8","扁平的反螺旋"
"11507","Nystagmus, rotary (in some patients)","9","眼球震颤，旋转（某些患者）"
"11508","Pectus excavatum, broad, shallow","23","Pectus excavatum，宽，浅"
"11509","Joint contractures (small and large joints affected)","42","关节挛缩（小关节和大关节受影响）"
"11510","Flat feet","48","扁平足"
"11511","Lateral deviation of great toe","48","大脚趾的侧向偏离"
"11512","Hypotonia, proximal, severe","57","低血压，近端，严重"
"11513","Inability to hold neck up ('limber neck') onset at 6 months","57","无法在6个月时保持颈部（“颈部颈部”）"
"11514","Neck drop","57","颈部下降"
"11515","Inability to walk","57","无法行走"
"11516","Inability to stand","57","无法忍受"
"11517","Dystonic posturing of the hands","57","Dystonic姿势的手"
"11518","Involuntary writhing movements","57","非自愿的扭动动作"
"11519","Generalized muscle atrophy","57","全身肌肉萎缩"
"11520","Inability to communicate","57","无法沟通"
"11521","No gaze contact","57","没有目光接触"
"11522","Lack of communication","57","缺乏沟通"
"11523","Leukodystrophy and white matter changes, which improve with age","57","脑白质营养不良和白质改变，随着年龄的增长而改善"
"11524","Decreased serum thyroxine (T4)","72",
"11525","Decreased serum free thyroxine","72",
"11526","Normal or mildly increased thyroid-stimulating hormone (TSH)","72",
"11527","Increased serum triiodothyronine (T3)","72",
"11528","Decreased serum rT3","72",
"11529","Heterozygous females have milder thyroid phenotype and no neurologic abnormalities","73",
"11530","No peripheral signs of hypothyroidism","73",
"11531","Pre- and postnatal growth retardation","4",
"11532","Bitemporal narrowing","6","双时间缩小"
"11533","Micrognathia","6","小颌畸形"
"11534","Hypertrophic cardiomyopathy (1 patient)","15","肥厚型心肌病（1例患者）"
"11535","Limited elbow movement","46","有限的肘部运动"
"11536","Cutis marmorata","50",
"11537","Female mutation carriers are less severely affected than male mutation carriers","73",
"11538","Short stature (less than 3rd percentile)","2",
"11539","Small forehead","7","小额头"
"11540","Raised earlobes","8","凸起的耳垂"
"11541","Small eyelashes","9","小睫毛"
"11542","Small, deep-set eyes","9","小而深的眼睛"
"11543","High narrow palate","11","高窄的口感"
"11544","Scrotal tongue","11","阴囊舌头"
"11545","Thick distal phalanges","47","厚的远端趾骨"
"11546","Talipes calcaneus","48","Talipes calcaneus"
"11547","Small eyelashes","54",
"11548","Abundant body hair","54",
"11549","Alopecia areata","54",
"11550","Lower limb muscle hypotrophy","55","下肢肌肉肥大"
"11551","Spastic paraplegia, slowly progressive","57","痉挛性截瘫，缓慢进展"
"11552","Lower limb hypertonia","57","下肢张力过高"
"11553","Lower limb hyperreflexia","57","下肢反射亢进"
"11554","Pyramidal syndrome of the lower limbs","57","下肢锥体综合症"
"11555","Low frustration tolerance","59",
"11556","Indolence","59",
"11557","Outbursts","59",
"11558","Autistic features (reported in 1 patient)","59",
"11559","Features in addition to mental retardation are variable","73",
"11560","Carrier females may show mild mental retardation or learning disabilities","73",
"11561","Systolic hypertension, mild","16","收缩期高血压，轻度"
"11562","Decreased serum osmolality","72",
"11563","Inappropriately increased urine osmolality","72",
"11564","Increased urinary sodium","72",
"11565","Decreased serum BUN","72",
"11566","Mildly decreased serum creatinine","72",
"11567","Decreased plasma renin activity","72",
"11568","Normal aldosterone","72",
"11569","Euvolemia","72",
"11570","Undetectable serum arginine vasopressin, or antidiuretic hormone (ADH, AVP,","72",
"11571","Onset within first 3 months of life","73",
"11572","Normal neonatal course","73",
"11573","Caused by constitutive activation of the AVPR2 receptor","73",
"11574","Female carriers may have asymptomatic hypercalciuria or hypophosphatemia only","73",
"11575","Part of 'Dent disease complex' (see","73",
"11576","Muscle pain, exercise-induced","55","肌肉疼痛，运动诱发"
"11577","Muscle stiffness, exercise-induced","55","肌肉僵硬，运动诱发"
"11578","Muscle biopsy shows increased subsarcolemmal vacuolar glycogen accumulation","55","肌肉活检显示增加的亚肌膜下液泡糖原积聚"
"11579","Muscle biopsy shows mitochondrial paracrystalline inclusions","55","肌肉活检显示线粒体的次晶内含物"
"11580","Muscle biopsy shows decreased muscle-specific phosphorylase kinase activity","55","肌肉活检显示肌肉特异性磷酸化酶激酶活性降低"
"11581","Myoglobinuria, exercise-induced","72",
"11582","Variable age at onset (childhood to adult)","73",
"11583","Most patients have adult onset of symptoms","73",
"11584","Mild ocular nuclear density (uncommon)","9","轻度眼核密度（不常见）"
"11585","Nephrocalcinosis (in some patients)","39","肾钙质沉着症（部分患者）"
"11586","Developmental delay, mild (in some patients)","57","发育迟缓，轻度（部分患者）"
"11587","Aminoaciduria, mild (in some patients)","72",
"11588","Increased lactate dehydrogenase","72",
"11589","Retinal dystrophy (rare)","9","视网膜营养不良（罕见）"
"11590","Loss of vision (rare)","9","视力丧失（罕见）"
"11591","Renal failure may occur with myoglobinuria","39","肌红蛋白尿可能导致肾功能衰竭"
"11592","Myopathy in approximately 45% of patients","55","大约45％的患者有肌病"
"11593","Central nervous system involvement in approximately 50% of patients","57","中枢神经系统参与约50％的患者"
"11594","Hemiplegic migraines","57","偏瘫偏头痛"
"11595","Hemolytic anemia in approximately 60% of patients","63",
"11596","Myoglobinuria after exertion","72",
"11597","Decreased activity of phosphoglycerate kinase 1","72",
"11598","Variable age at onset (range infancy to adult)","73",
"11599","Heterozygous females may exhibit variable degrees of enzyme deficiency","73",
"11600","Sensorineural hearing loss (early-onset form)","8","感觉神经性听力损失（早发型）"
"11601","Secondary renal insufficiency","39","继发性肾功能不全"
"11602","Gout","42","痛风"
"11603","Neurodevelopmental impairment (early-onset form)","57","神经发育障碍（早发型）"
"11604","Hypotonia (early-onset form)","57","低血压（早发型）"
"11605","Locomotor delay (early-onset form)","57","运动延迟（早发形式）"
"11606","Mental retardation (early-onset form)","57","精神发育迟滞（早发型）"
"11607","Ataxia (early-onset form)","57","共济失调（早发型）"
"11608","Overproduction of uric acid and purines","61",
"11609","Increased activity of the PRPP synthetase 1 enzyme","72",
"11610","Two main phenotypes, early-onset with neurologic defects and early-adult onset with gout","73",
"11611","Heterozygous females may have gout and/or sensorineural deafness","73",
"11612","Dental anomalies ('weak teeth')","12","牙齿异常（'弱牙'）"
"11613","Low estradiol level","72",
"11614","Exaggerated startle response","57","夸张的惊吓反应"
"11615","Seizures, tonic, hyperekplectic","57","癫痫发作，滋补，hyperekplexia"
"11616","Seizures provoked by tactile stimulation or extreme emotion","57","触觉刺激或极度情绪引起的癫痫发作"
"11617","Seizures are poorly controlled","57","癫痫发作控制不佳"
"11618","Impaired psychomotor development","57","精神运动发育受损"
"11619","Large-appearing eyes","9","大眼睛"
"11620","Well-defined eyebrows","9","明确的眉毛"
"11621","Tapering fingers","47","手指逐渐变细"
"11622","Seizures, infantile-onset","57","癫痫发作，婴儿期发病"
"11623","Multifocal seizures","57","多灶性癫痫发作"
"11624","Tonic-clonic seizures","57","强直 - 阵挛性癫痫发作"
"11625","Psychomotor regression may occur","57","可能发生精神运动退化"
"11626","Poor eye contact","57","眼睛接触不良"
"11627","Motor dyspraxia","57","运动性运动障碍"
"11628","Inability to walk independently","57","无法独立行走"
"11629","Sleep difficulties","57","睡眠困难"
"11630","Autonomic disturbances","57","自主神经紊乱"
"11631","Stereotyped behaviors","59",
"11632","Hand-wringing","59",
"11633","Breath-holding episodes","59",
"11634","Seizures are usually refractory","73",
"11635","Females are most often affected, but rare male cases have been reported","73",
"11636","Males are more severely affected","73",
"11637","Dysmorphic facial features are subtle","73",
"11638","Some phenotypic overlap with Rett syndrome ","73",
"11639","Hearing loss, progressive","8","听力损失，进步"
"11640","Tinnitus","8","耳鸣"
"11641","Loss of outer hair cell function","8","外毛细胞功能丧失"
"11642","Decreased otoacoustic emission amplitude","8","降低耳声发射幅度"
"11643","Abnormal auditory brainstem responses","8","听觉脑干反应异常"
"11644","Abnormal middle ear reflexes","8","中耳反射异常"
"11645","Abnormal speech discrimination","8","言语歧视异常"
"11646","Cochlear nerve hypoplasia","8","耳蜗神经发育不全"
"11647","Peripheral sensory axonal neuropathy","58","周围感觉轴索性神经病变"
"11648","Unsteady gait","58","不稳定的步伐"
"11649","Decreased or absent sensory nerve conduction velocities","58","感觉神经传导速度降低或消失"
"11650","Decreased or absent sensory nerve action potential amplitudes","58","减少或缺席感觉神经动作电位振幅"
"11651","Onset of hearing loss prior to or during adolescence","73",
"11652","Peripheral neuropathy occurs in adulthood","73",
"11653","Slowly progressive MOLECULR BASIS : Caused by mutation in the apoptosis-inducing factor, mitochondrion-associated, 1 gene (AIFM1,","73",
"11654","Central hypoventilation","17","中枢通气不足"
"11655","Encephalopathy, severe, neonatal","57","脑病，严重，新生儿"
"11656","Hyperextension of the limbs","57","四肢过度伸展"
"11657","Limb rigidity","57","肢体刚性"
"11658","Dyskinetic movements","57","运动障碍运动"
"11659","Polymicrogyria (reported in 1 patient)","57","Polymicrogyria（1例患者报告）"
"11660","Death usually within first 2 years of life","73",
"11661","MECP2 mutations are those found in females with Rett syndrome ","73",
"11662","Intellectual disability, mild to severe","57","智力残疾，轻度至重度"
"11663","Auto- and hetero-aggressive behavior","59",
"11664","Angry outbursts","59",
"11665","Easily frustrated","59",
"11666","Antisocial behavior","59",
"11667","Decreased monoamine oxidase A activity","72",
"11668","Increased urinary levels of MAOA substrates (endogenous bioamines)","72",
"11669","Decreased serum levels of MAOA products","72",
"11670","Two unrelated families have been reported (last curated June 2014)","73",
"11671","Phenotype may be exacerbated by maltreatment in childhood","73",
"11672","Tall, thin habitus","2",
"11673","Long feet","48","长脚"
"11674","Poor musculature","55","肌肉萎缩"
"11675","Hypernasal voice","60",
"11676","Masked facies","7","蒙面相"
"11677","Saccadic pursuit","9","Saccadic追求"
"11678","Premature ovarian failure","38","卵巢早衰"
"11679","Fibromyalgia","55","纤维肌痛"
"11680","Resting tremor","57","休息震颤"
"11681","Impaired tandem gait","57","串联步态受损"
"11682","Impaired fine motor skills","57","精细运动技能受损"
"11683","Illegible handwriting","57","难以辨认的笔迹"
"11684","Loss of executive function","57","执行功能丧失"
"11685","Memory defects","57","记忆缺陷"
"11686","Dementia, progressive (more common in males)","57","痴呆症，进行性（男性更常见）"
"11687","MRI shows generalized atrophy","57","MRI显示全身性萎缩"
"11688","Increased T2 signal intensities in the middle cerebellar peduncles","57","小脑中段的T2信号强度增加"
"11689","Neuropathology shows FMR1 mRNA-positive inclusions in neurons and astrocytes","57","神经病理学显示神经元和星形胶质细胞中的FMR1 mRNA阳性包涵体"
"11690","Decreased distal vibratory sensation","58","减少远端振动感"
"11691","Lower extremity numbness","58","下肢麻木"
"11692","Lower extremity paresthesias","58","下肢感觉异常"
"11693","Increased intracellular FMRP mRNA","72",
"11694","Decreased intracellular FMR protein","72",
"11695","Onset in fifties or sixties","73",
"11696","Caused by 55-200 expanded trinucleotide repeats in the FMR1 gene ","73",
"11697","Most patients have a family history of fragile X syndrome","73",
"11698","Full mutations with expanded trinucleotide repeats greater than 200 result in fragile X mental retardation syndrome ","73",
"11699","Males are more commonly affected than females","73",
"11700","Macroorchidism, postpubertal","35","大肠杆菌，后青春期"
"11701","Congenital macroorchidism (in some patients)","35","先天性巨大症（某些患者）"
"11702","Mental retardation (moderate to severe in males)","57","精神发育迟滞（男性中度至重度）"
"11703","Abnormal head movements","57","头部运动异常"
"11704","Periventricular heterotopia","57","脑室周围异位"
"11705","Hyperactive behavior","59",
"11706","Poor eye contact","59",
"11707","Folate-dependent fragile site at Xq28","72",
"11708","50% of females have learning disability or mild mental retardation","73",
"11709","Prevalence approximately 1 in 4,000 males","73",
"11710","Most cases (98%) caused by expanded trinucleotide repeat (CGG)n in the FMR1 gene ","73",
"11711","Repeat is unstable if > 52 repeats","73",
"11712","Symptomatic if > 200 repeats","73",
"11713","Some boys with premutations (55 to 200 repeats) may show milder features, including autistic features","73",
"11714","Hypospadias, perineal","35","尿道下裂，会阴"
"11715","See also autosomal form,","73",
"11716","Arrhythmias may occur","15","可能发生心律失常"
"11717","Scapular winging","24","肩胛翼"
"11718","Muscle weakness, proximal, progressive","55","肌肉无力，近端，进行性"
"11719","Muscle wasting, progressive","55","肌肉萎缩，进步"
"11720","Upper limb weakness","55","上肢无力"
"11721","Foot drop","55","脚下降"
"11722","Steppage gait","55","步态步态"
"11723","Hyaline inclusions","55","透明夹杂物"
"11724","Myofibrillar myopathy","55","肌原纤维肌病"
"11725","One large family has been reported (as of 2008)","73",
"11726","Onset in early adulthood","73",
"11727","Limited range of neck motion","13","颈部运动范围有限"
"11728","Conduction defects","15","传导缺陷"
"11729","Vocal cord palsy","19","声带麻痹"
"11730","Bent spine","44","弯曲的脊柱"
"11731","Pseudoathletic appearance with muscle hypertrophy before disease onset","55","假性运动外观与疾病发作前肌肉肥大"
"11732","Muscle atrophy later in the disease","55","肌肉萎缩后来发病"
"11733","Myopathic or dystrophic changes seen on muscle biopsy","55","在肌肉活检中观察到肌病或营养不良的变化"
"11734","Rimmed vacuoles","55","边缘空泡"
"11735","Cytoplasmic bodies","55","细胞质体"
"11736","Granulofilamentous material","55","Granulo丝状材料"
"11737","Onset in late childhood or adulthood","73",
"11738","Delayed eruption of teeth (in some patients)","12","牙齿萌出延迟（部分患者）"
"11739","Conical teeth (in some patients)","12","锥形牙齿（部分患者）"
"11740","Susceptibility to disseminated mycobacterial infections","64",
"11741","Some patients may have increased susceptibility to other infections","64",
"11742","Impaired production of IL-12 and gamma-interferon","64",
"11743","Onset in the first 2 decades","73",
"11744","Poor response to treatment","73",
"11745","Chronic condition","73",
"11746","Asthenic body habitus","4",
"11747","Dysmorphic features","7","变形特征"
"11748","Poor muscle bulk","55","肌肉体积不足"
"11749","Self-injury","59",
"11750","Recurrent mycobacterial disease (BCG and M. tuberculosis)","64",
"11751","Varicella zoster infection","64",
"11752","Mental retardation, mild-moderate","57","精神发育迟滞，轻度 - 中度"
"11753","Rudimentary adenoids","18","基本腺样体"
